Gas,"NFR/CRF Group",Source,Activity,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A2giii,"NRMM: Mining and Quarrying","Gas oil",kilotonne,125.352456496997,127.329958996258,113.9856629044,115.562577542733,129.491721708228,132.598722406919,144.556262928292,150.499549314203,155.539972323102,160.019870029038,143.243450779513,163.202553743216,161.939750185229
"Carbon Dioxide as Carbon",1A2gv,"NRMM: Construction","Gas oil",kilotonne,542.412241303915,453.80865490208,503.984629874346,412.888385923618,409.659783041171,461.24474901326,474.455063537699,476.373204904651,545.029172319731,490.761255742406,489.756281959052,572.405420160572,540.685895996277
"Carbon Dioxide as Carbon",1A2gv,"NRMM: Construction",Petrol,kilotonne,16.2591675103745,15.897324785766,13.6913826584192,14.4121257924941,16.2736940884432,16.8944394781747,18.5120552383421,20.485166724093,19.7053000078901,21.2215229140423,17.3459759223173,20.5355364284003,21.7110201686006
"Carbon Dioxide as Carbon",1A2gvii,"NRMM: Generators","Gas oil",kilotonne,95.0213713346829,91.2374399059757,115.091492983378,87.5145444052305,82.620573964541,75.3030302371355,76.2280777153502,100.260605831269,76.3450121832367,62.3846087071609,77.7890738958827,78.6766246096553,67.5069539097277
"Carbon Dioxide as Carbon",1A2gvii,"NRMM: Generators",Petrol,kilotonne,171.308981382684,184.79409206751,194.129163644919,165.898595383976,174.59909738753,171.366822961795,156.244668607286,191.586890661096,200.658718356927,176.141720025728,180.753591859097,186.182112478251,190.25279465313
"Carbon Dioxide as Carbon",1A2gvii,"NRMM: Other Industry","Gas oil",kilotonne,92.3042584272132,103.836509007943,109.974559733331,108.657893073839,110.732485778459,112.105109689078,108.287574693202,85.9832200140991,57.519872232891,48.0807718501359,44.2425087224814,92.9291722186753,73.5572544242881
"Carbon Dioxide as Carbon",1A2gvii,"NRMM: Other Industry",Petrol,kilotonne,15.0922006259699,15.3333788365636,13.6402470011656,13.7774050906239,15.3366997428586,16.436788009303,17.5456726795484,19.0882531158092,19.3693051295779,20.6226361128674,17.272441949496,19.3165935230733,20.7262770767207
"Carbon Dioxide as Carbon",1A2gvii,"NRMM: Waste","Gas oil",kilotonne,114.28740139366,110.099203347386,112.427559165537,103.7742913312,102.250987173046,105.026008506273,121.963494023703,124.081076997425,124.338696718507,127.700496562278,127.70087068809,132.737395816117,135.194315131914
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Burning oil",kilotonne,179.79477363442,158.373205373624,160.916508037436,185.390065362642,177.863199584444,174.68879082385,164.6021180776,191.9321103534,206.028984265492,282.116835077717,362.135302189796,201.492109004819,197.361197579823
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion",Coal,kilotonne,661.202971601553,583.134297691512,723.987886717475,1065.96394431294,988.005798377946,741.790671392762,674.097670015795,549.215797318692,534.121742996607,424.921743168996,326.72795664393,266.148726278461,214.386190191131
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Coke oven gas",kilotonne,10.6177345503779,9.805910123882,9.88211562591472,8.95905939045509,8.49785972033096,0.0534076704951101,0.0532077607816188,0.0514568487518426,0.0519133190727905,0.0526644073883199,0.0524374718769425,0.0527257937558131,0.0545485389310116
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Colliery methane",kilotonne,1.54292187920667,1.31589096800426,1.14487609535308,0.931801956103362,0.773109424500613,0.657294600908757,0.558457866639267,0.474780140693318,0.403835981739144,0.343199948444978,0.291659320144937,0.248001376173138,0.210407035530755
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Fuel oil",kilotonne,349.311532700193,142.87052024003,38.2550423909582,11.7212239324706,106.240965074337,98.0470242114758,159.308882631079,239.52709416629,162.256882829779,68.2201637243935,100.973242390761,112.151357807746,160.983206121876
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Gas oil",kilotonne,47.3328551312247,32.694280364708,35.1198617641343,43.2522133980456,48.0510043656368,55.5930191757521,48.6677936162841,49.9221573069519,58.7742909301801,46.9705871953552,42.1124089108176,57.7614583165346,69.0831748523294
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion",LPG,kilotonne,496.176056437231,552.126724878008,349.875183209954,206.172938190404,441.106568494531,594.059226250612,425.432761513209,432.053558252248,467.556603475666,616.64546886193,555.796377879012,588.721713605063,626.111646040943
"Carbon Dioxide as Carbon",1A2gviii,"Other industrial combustion","Natural gas",kilotonne,2238.95355214245,2191.8922222505,2001.00961663763,2052.75862341332,1989.95499676211,2259.68620807067,2239.86443494441,2206.83324680925,2446.87028832068,2279.03254949647,2116.60873359318,2429.24006678615,2519.41444079125
